TAZ,HHNUM,HHSIZE
1,4347.4,2.036
2,2215.2,2.216
3,0,0
4,722,1.906
5,3733,1.676
6,1732.2,1.814
7,2726,1.684
8,6,2.056
9,1237.8,2.236
10,1476.2,2.206
11,2829.2,2.126
12,3596.6,1.976
13,3137.4,1.804
14,2075.4,2.376
15,0,0
16,0,0
17,726,1.926
18,720,2.568
19,1757.6,1.964
20,3485.2,2.196
21,515.8,2.256
22,1441.2,1.796
23,2906.2,1.734
24,2387.4,1.834
25,3397.8,1.576
26,2082.2,1.846
27,996.4,1.644
28,445.8,1.966
29,3570.2,1.566
30,1307,1.896
31,1,1.024
32,1571.2,1.774
33,1194.8,1.824
34,2867.2,1.654
35,2387.4,1.644
36,3881.6,1.636
37,3259.8,1.576
38,4182,1.524
39,2415.4,1.764
40,3842.6,1.586
41,2628.8,1.674
42,1857.8,2.618
43,603.6,2.106
44,3535.4,2.948
45,3983,2.838
46,1001.4,3.08
47,3327.6,2.176
48,3125.8,2.738
49,1516.8,1.946
50,1825.6,2.728
51,1093.2,1.856
52,1466,2.398
53,2016.6,2.036
54,3156.8,2.656
55,1357,2.076
56,717.6,2.026
57,2347.4,2.698
58,1614.8,2.096
59,2606.2,2.448
60,2065.4,2.668
61,3235.6,2.166
62,3854.2,1.736
63,2429.4,1.874
64,1464.8,2.186
65,5315.2,1.674
66,1462,1.694
67,4196,1.684
68,1630,1.694
69,4567.8,1.754
70,1784.8,1.754
71,4983.8,1.624
72,3995.6,1.634
73,2155.4,1.946
74,3175.8,1.756
75,3936.6,1.616
76,5206,1.724
77,1853.6,1.666
78,2657.2,1.816
79,1501,1.586
80,2518.6,1.574
81,3348.8,1.766
82,3312.8,1.644
83,2117.4,1.544
84,2011.4,1.794
85,1993.4,1.684
86,2480,1.514
87,3721.2,1.524
88,3261.2,1.574
89,1462.6,1.886
90,4009.8,1.544
91,1983.4,1.604
92,2183.6,1.654
93,4977.8,1.714
94,2450.8,1.604
95,1430.6,1.634
96,494.4,1.664
97,2106,1.586
98,920.2,1.736
99,113,1.636
100,84,1.212
101,1195.2,1.524
102,0,0
103,5,1.644
104,35,1.794
105,79,1.474
106,26,1.664
107,386.4,1.184
108,639.8,1.082
109,1602,1.614
110,132,1.516
111,1055.2,1.886
112,1187.2,1.544
113,27,1.374
114,90,1.704
115,625.8,1.554
116,1461.6,1.534
117,359.4,1.744
118,1820,1.634
119,2202.6,1.644
120,627.8,1.624
121,244.4,1.846
122,877.8,1.634
123,2316.4,1.996
124,8179.2,2.046
125,1062,2.036
126,3680.6,1.676
127,4858.8,1.646
128,6470.4,1.754
129,5379.4,1.676
130,5061.8,1.694
131,3355.4,1.614
132,4867.8,1.474
133,1701.6,1.764
134,3094,1.594
135,1685.6,1.676
136,2916.8,1.574
137,1999,1.606
138,3342.4,1.664
139,4546.6,1.804
140,4385.4,1.716
141,1,2.056
142,1502,1.866
143,6326.4,2.036
144,4030.8,1.664
145,2,2.056
146,2691,1.764
147,3175.8,1.726
148,1953,1.806
149,3308.8,1.794
150,3073.8,1.614
151,3115,1.794
152,5006.8,1.736
153,1994.8,1.746
154,1773.8,1.726
155,2703,1.894
156,680,2.056
157,3788.8,1.746
158,3299.8,2.006
159,1688.8,1.926
160,2629.8,1.846
161,2192.8,2.016
162,2556.8,1.824
163,4505.8,1.936
164,5154.8,2.016
165,2422.8,1.936
166,2270,2.026
167,2260,2.056
168,2197.8,1.986
169,2566,1.656
170,4831.8,1.926
171,4605.8,1.876
172,4386.8,1.934
173,3652.4,2.166
174,4874.8,2.258
175,4041.2,2.188
176,28,1.764
177,0,0
178,2158.8,1.604
179,2521.6,1.966
180,4390.4,1.656
181,785,1.806
182,1408,1.734
183,2047.8,1.914
184,2004.6,1.846
185,5061.4,1.764
186,5487.4,1.706
187,7682.2,1.686
188,3050.6,2.086
189,2062.8,2.036
190,6418.2,1.664
191,6697,1.676
192,8686.8,1.794
193,7263,1.674
194,3825.6,2.026
195,2136.8,2.108
196,2607.6,1.896
197,3828.6,1.786
198,3691.4,2.006
199,2574.8,1.656
200,4743.4,1.696
201,1431.8,2.036
202,3533.6,2.016
203,1056.8,2.206
204,2455.8,2.248
205,7743,1.786
206,2634.6,2.056
207,1581,1.846
208,1616.8,2.348
209,1173,2.236
210,303,1.966
211,297.2,2.096
212,1312,1.956
213,1445,2.556
214,3645.2,2.046
215,715,1.836
216,1219,2.166
217,4428.4,2.206
218,1623.2,2.418
219,577,2.528
220,200,2.688
221,1934.2,2.166
222,1414.2,2.438
223,2285.2,3.53
224,3486.4,2.948
225,2841.2,2.938
226,2325.2,2.848
227,2593.2,2.276
228,2315.2,2.628
229,2030.8,2.616
230,3070.2,2.428
231,2658.8,2.276
232,1439,2.198
233,2727.8,2.286
234,1491.6,2.016
235,2322.2,2.286
236,1302.6,2.216
237,1603.2,2.386
238,2086,2.236
239,2479.4,1.686
240,1864.6,1.654
241,2552.4,2.506
242,1748.4,2.136
243,1219.6,2.548
244,2022.2,2.958
245,2314.2,2.206
246,3341.6,2.446
247,1144.6,1.944
248,2958,2.668
249,2796.8,2.356
250,2538.2,2.728
251,572.8,2.588
252,3747.2,2.256
253,2579.6,2.868
254,3942.4,2.398
255,2967.8,1.826
256,1001.2,2.226
257,2343.2,2.666
258,3229.4,2.356
259,2972.2,2.386
260,1609.2,2.598
261,1501.2,2.808
262,2034,2.446
263,3113.4,2.608
264,3863.2,2.598
265,2764.2,2.738
266,2263.2,2.668
267,1625.2,2.396
268,1278.2,2.808
269,2388,2.758
270,210,2.778
271,1921.4,2.338
272,1456,1.946
273,1006.2,2.678
274,1304.8,2.046
275,3016.2,2.246
276,0,0
277,0,0
278,3101.4,2.258
279,1679.2,2.256
280,1733,2.006
281,0,0
282,2587,2.688
283,1454.4,2.656
284,990.8,2.418
285,3190.4,2.408
286,2441.2,2.928
287,4638.6,3.25
288,371.4,2.948
289,771.2,2.968
290,1387.4,2.788
291,3703.8,3.058
292,3549,3.44
293,2754.8,3.19
294,1,2.056
295,2204.4,2.496
296,3158.4,3.16
297,2858.6,2.898
298,3083.4,2.086
299,1443.2,1.996
300,1298.4,2.086
301,3758.6,2.768
302,2034.6,3.178
303,3034.4,2.538
304,2616,2.78
305,1629.2,2.506
306,49,2.978
307,3685.8,3.098
308,2883.8,3.168
309,1634.2,1.734
310,2052.4,1.676
311,1397.6,1.776
312,2098.4,1.796
313,3502.2,1.894
314,2588,1.716
315,261.2,1.786
316,4238.8,2.106
317,4558.8,2.226
318,3305.2,2.586
319,1766.4,2.546
320,1980,2.104
321,3301.2,2.326
322,2238,2.296
323,0,0
324,2840.8,2.284
325,1021.8,2.374
326,1530.6,2.204
327,2190.6,2.246
328,4036.8,2.706
329,2253.2,1.986
330,2300.6,1.894
331,385,3.248
332,1289,2.866
333,619.8,2.516
334,1564,2.014
335,3822.2,2.084
336,2926.4,2.154
337,2828.6,2.114
338,2684.4,2.424
339,630.8,2.374
340,1609.4,2.156
341,5005.2,2.324
342,3,1.672
343,2433.8,2.536
344,1789.6,2.594
345,2066.8,2.524
346,2234,2.314
347,1980,2.224
348,1876.4,2.436
349,3554,2.404
350,395,2.866
351,1283.8,2.976
352,1084,2.796
353,87.6,3.928
354,3263,2.456
355,285.4,2.002
356,1914.6,2.194
357,2011.4,2.274
358,2,3.006
359,40.2,2.816
360,2543.4,2.224
361,1927.8,2.186
362,6493.6,1.894
363,1126.4,1.964
364,0,0
365,446.4,2.504
366,1411.8,2.616
367,1161,2.796
368,2688.8,3.266
369,324.6,3.306
370,6631.2,2.244
371,3305.6,2.324
372,2521.4,2.326
373,3233,2.446
374,2447.8,2.476
375,1139.8,2.824
376,1208.4,3.086
377,403.2,3.548
378,2176.8,2.396
379,2221.2,2.546
380,522,3.066
381,4423.2,3.256
382,1875.4,3.066
383,451.6,3.478
384,224.6,2.896
385,8.2,3.378
386,2701.4,3.036
387,2427.8,2.856
388,1084,3.586
389,3288,3.266
390,4902.6,2.386
391,5232.6,2.376
392,4734.2,2.604
393,4951.8,3.246
394,3347.4,3.458
395,977.8,3.316
396,1468,2.996
397,1209.4,3.378
398,2328.4,3.056
399,1362.8,3.588
400,2392.6,3.698
401,1046,4.128
402,970.6,4.11
403,736.2,3.528
404,1374.8,4.58
405,1710.8,4.018
406,3142.8,4.28
407,0,0
408,1475.4,3.166
409,1993.2,3.056
410,3641.4,3.068
411,1577,3.088
412,1579.4,4.408
413,2841.2,4.198
414,2646.4,4.508
415,1092.2,4.158
416,2354.6,3.828
417,1366.6,3.296
418,1926,3.888
419,926,4.33
420,4183.6,3.376
421,2229.4,3.338
422,2957.4,3.178
423,4571,2.744
424,1612.8,3.036
425,1559.6,2.606
426,1577.8,2.706
427,1861.4,3.096
428,1573.8,3.146
429,3029.4,3.256
430,2647,3.348
431,4722.2,3.376
432,850.4,3.398
433,1996,2.646
434,1723,3.016
435,778,2.726
436,938,2.824
437,667,2.586
438,2895,2.716
439,1930,2.586
440,462,2.474
441,389,2.916
442,1360,3.076
443,1673,2.826
444,3257,2.956
445,4397,2.606
446,3001,3.346
447,1624,2.836
448,2949.8,2.726
449,2702,2.736
450,1331,2.946
451,2288,3.238
452,3316,2.626
453,2206,2.546
454,1141,2.526
455,1220,2.296
456,2786,2.384
457,843,2.516
458,1659,2.666
459,1670,2.264
460,1314,2.554
461,2745,2.576
462,359,2.386
463,789.8,2.616
464,2135,2.646
465,1092,2.536
466,1544,3.016
467,2395,2.696
468,1315.4,2.084
469,2655.4,1.864
470,4839.2,1.884
471,3975.4,1.904
472,1409.2,2.736
473,2401,2.616
474,2426.2,1.864
475,6941,2.094
476,840.8,2.574
477,2063,2.474
478,1224,2.384
479,1896.6,2.476
480,1276.2,2.294
481,4356.8,2.114
482,5793.2,1.944
483,1562.4,2.354
484,960,2.726
485,2271,2.216
486,3413,2.154
487,1307,2.624
488,3836.2,2.946
489,1716.4,3.136
490,2114,3.066
491,1420.2,2.886
492,1583.8,2.796
493,4448,2.466
494,501.2,3.048
495,826.6,2.704
496,821,2.666
497,2323,3.268
498,2148.2,2.776
499,2203.4,2.124
500,2658.4,2.594
501,4921,2.916
502,4470,2.676
503,3882.6,2.846
504,1069.6,3.318
505,1361.8,3.336
506,2028.6,3.216
507,790.2,2.956
508,2053.8,3.086
509,674,3.176
510,796.4,3.268
511,758.2,3.376
512,2720.6,2.774
513,2870.2,3.036
514,1581.8,2.684
515,1453.2,2.836
516,2008.6,2.836
517,1976.4,2.616
518,1701.2,2.946
519,1307.6,2.766
520,1900,2.826
521,2245.6,2.836
522,2869.2,2.636
523,1539.6,2.774
524,1295.4,2.514
525,1255.4,2.204
526,2532.8,2.354
527,3986,2.326
528,0,0
529,6951.8,1.994
530,921.8,3.128
531,0,0
532,1321.8,3.216
533,464,3.026
534,1,1.002
535,2760.8,2.354
536,4266,2.534
537,1172.4,3.046
538,1752.4,3.036
539,3775.8,2.746
540,1166.2,2.564
541,2184.4,2.846
542,1172.4,2.064
543,2725.6,2.134
544,2489.6,2.264
545,2110.4,2.966
546,1625.4,2.926
547,548.2,3.278
548,1349.2,3.386
549,211,3.556
550,1856.4,3.308
551,2536.6,2.544
552,1299.4,2.624
553,433.2,3.076
554,2170.4,2.464
555,1016.2,3.056
556,2466.6,3.046
557,1245.2,3.046
558,435.2,3.006
559,1317.2,2.816
560,385,3.088
561,778.2,3.158
562,1057.2,3.116
563,3908,2.474
564,46,1.624
565,1906.6,2.134
566,1916.6,2.176
567,2327.2,2.474
568,1183.6,3.056
569,2772,2.044
570,1411.6,2.706
571,3360.4,3.196
572,4349.4,3.568
573,1694.8,3.516
574,3360.4,3.456
575,660.6,3.908
576,1801.2,3.708
577,1760,3.458
578,2824.2,3.516
579,1236,3.176
580,1828,3.206
581,872.6,3.296
582,2372.6,3.758
583,2471.2,3.636
584,3555.2,3.778
585,2733.8,3.136
586,2478.4,3.346
587,2901.8,3.086
588,910.4,3.128
589,798.6,3.336
590,1147.8,2.736
591,5329.4,2.164
592,2664.8,2.826
593,2833.8,2.626
594,2782.8,3.588
595,3114,3.726
596,1676,3.676
597,1774,3.396
598,1349.8,3.526
599,2208.4,3.386
600,1894.2,3.468
601,2395.6,3.258
602,1019.6,3.448
603,1010.6,3.556
604,249.2,3.466
605,8,2.004
606,1000.8,2.916
607,714.6,2.876
608,1694.2,2.776
609,895.6,2.534
610,1421.2,2.366
611,2121.6,2.806
612,642.4,2.426
613,954.6,2.946
614,1404.2,2.946
615,108.2,3.678
616,682.6,2.736
617,999.8,2.646
618,1729.4,2.926
619,788.6,3.176
620,865.6,3.036
621,303.2,3.046
622,1283,2.156
623,1327,2.554
624,960.8,3.076
625,736.6,3.026
626,1325.2,3.026
627,1195.8,2.484
628,3859,2.014
629,1258.8,2.686
630,2386,2.494
631,2365.8,2.826
632,0,0
633,0,0
634,2749.2,2.624
635,2563,2.536
636,2210.8,2.344
637,1073.8,2.766
638,1221,2.526
639,1508.2,3.246
640,711.2,3.578
641,706.2,3.608
642,487.2,3.558
643,2237,3.638
644,1724.4,3.298
645,2060,3.116
646,2192.4,3.308
647,14,2.936
648,2837.2,3.186
649,1213.6,2.926
650,1811,3.566
651,1566.6,3.396
652,1586.8,3.258
653,2387,3.388
654,185,3.258
655,1308.6,3.368
656,740.4,3.116
657,861.4,3.578
658,1536.8,2.586
659,1434.8,3.348
660,1306.6,2.946
661,1265.6,3.386
662,1523.8,3.308
663,2058,2.864
664,1947.8,3.206
665,6155,2.064
666,984.4,3.218
667,1680.8,2.966
668,747.4,3.256
669,3475.8,3.118
670,385.2,3.026
671,2550.2,3.198
672,2557.8,3.298
673,1654.8,3.326
674,2376.2,3.278
675,939.4,3.328
676,1086.4,3.568
677,876.4,3.738
678,689.4,3.676
679,1530.8,2.686
680,1844.8,3.486
681,1567.6,3.366
682,1234.6,3.518
683,1426.6,2.524
684,1465.8,3.136
685,4803.2,1.854
686,2861.6,3.018
687,1339.8,2.966
688,2460.6,2.946
689,1478.8,2.926
690,1532.6,2.496
691,267,3.628
692,590,3.466
693,1980.8,3.156
694,1016.8,2.976
695,1815.6,2.644
696,618.8,3.778
697,1548.8,3.498
698,2200.6,3.318
699,839,3.638
700,1424.8,3.588
701,1425.8,3.206
702,1184.8,3.576
703,704,3.748
704,1347.8,3.296
705,1085.8,3.346
706,420,3.146
707,1050.8,3.348
708,1016.8,3.588
709,356,3.046
710,511.8,3.026
711,970,3.056
712,704,3.058
713,779.8,3.256
714,926.8,3.186
715,673,3.206
716,354.8,3.276
717,1821.8,2.886
718,1318.8,3.106
719,781.8,3.198
720,1249.8,3.158
721,743.8,3.238
722,930,3.066
723,1212.8,3.118
724,997.8,3.448
725,1092,3.358
726,1075.8,3.338
727,177,3.156
728,858.8,3.276
729,1458.8,3.348
730,995.8,3.276
731,2956.4,3.268
732,1020.8,3.266
733,1484.8,3.196
734,1016.8,3.218
735,3794.4,3.388
736,3050.2,3.558
737,1239,3.066
738,5034.2,2.646
739,5293.8,2.454
740,4555.6,2.876
741,3038.2,3.106
742,5677,2.426
743,5690,2.094
744,3885,2.566
745,955.4,2.666
746,1889.4,2.626
747,3,2.336
748,61.4,3.146
749,28,2.614
750,1278.6,3.106
751,1142,3.176
752,2708.6,2.376
753,644.6,2.52
754,1892.4,2.72
755,1883.6,2.948
756,1076.4,2.92
757,2460.4,3.14
758,1430,2.808
759,529.8,3.048
760,238.8,2.38
761,2030.6,2.92
762,2100,3.078
763,2085.2,3.03
764,1873.6,2.81
765,1657.4,3.03
766,636,2.91
767,2641.8,2.85
768,2362.2,2.978
769,2227,3
770,3644,2.888
771,1706.4,3.11
772,20,2.52
773,36,2.88
774,1410,3.11
775,576.8,2.76
776,3,2.61
777,3748.2,2.998
778,1725.4,3.08
779,1176.6,2.73
780,703,3.11
781,1966.6,2.918
782,507.8,3.24
783,1715.4,2.828
784,1446,2.668
785,815.2,2.69
786,2020,2.768
787,820,2.52
788,401.8,2.08
789,1246.8,2.7
790,1289.6,2.818
791,1781.6,2.96
792,2360.8,2.74
793,3786.4,3.01
794,376.8,2.898
795,1166.2,2.958
796,0,0
797,1478,2.858
798,1807.6,2.99
799,1431.8,2.858
800,1026,2.97
801,1280.4,3.088
802,939,3.19
803,2680.4,2.78
804,1763.4,2.52
805,1828.2,2.72
806,3244.8,1.97
807,0,0
808,2702.6,2.868
809,2252.8,3.38
810,4735,2.76
811,51.2,1.36
812,2789.8,2.968
813,1311.6,2.8
814,1910,2.92
815,2635.6,2.81
816,3769.2,2.82
817,2858,3.318
818,3317,2.5
819,2095.4,2.88
820,2773,3.138
821,2562.4,2.728
822,2681.6,3.12
823,2939.2,2.978
824,2809.2,3.098
825,1096.8,3.01
826,4399.2,2.77
827,2382.2,2.748
828,1859.6,2.67
829,2393,2.96
830,2738,3.088
831,0,0
832,1992.2,2.9
833,2169.4,3.178
834,1549.8,3.14
835,3804.6,2.828
836,1926.8,3.158
